,Data,Intervalo,Vazao
199, 7-2-2023,18:00:00 a 23:59:59,304376138.1666667
200, 9-2-2023,00:00:00 a 06:00:00,919262386.5
201, 9-2-2023,06:00:00 a 12:00:00,306058490.0833333
202, 9-2-2023,12:00:00 a 18:00:00,306058490.0833333
203, 9-2-2023,18:00:00 a 23:59:59,915251480.5
204, 10-2-2023,00:00:00 a 06:00:00,305752310.5
205, 10-2-2023,06:00:00 a 12:00:00,489371349.0
206, 10-2-2023,12:00:00 a 18:00:00,913972610.0
207, 10-2-2023,18:00:00 a 23:59:59,921961646.0
208, 11-2-2023,00:00:00 a 06:00:00,540092847.25
209, 11-2-2023,06:00:00 a 12:00:00,387550933.6666667
210, 11-2-2023,12:00:00 a 18:00:00,916193417.0
211, 11-2-2023,18:00:00 a 23:59:59,922540993.0
212, 12-2-2023,00:00:00 a 06:00:00,460116008.8333333
213, 12-2-2023,06:00:00 a 12:00:00,306455734.3333333
214, 12-2-2023,12:00:00 a 18:00:00,919501811.0
215, 12-2-2023,18:00:00 a 23:59:59,919024297.0
216, 13-2-2023,00:00:00 a 06:00:00,460177849.6666667
217, 13-2-2023,06:00:00 a 12:00:00,306421017.3333333
218, 13-2-2023,12:00:00 a 18:00:00,382836533.0
219, 13-2-2023,18:00:00 a 23:59:59,916405377.0
220, 15-2-2023,00:00:00 a 06:00:00,369711034.0
221, 15-2-2023,06:00:00 a 12:00:00,216540317.66666666
222, 15-2-2023,12:00:00 a 18:00:00,216540317.66666666
223, 15-2-2023,18:00:00 a 23:59:59,918134568.0
224, 16-2-2023,00:00:00 a 06:00:00,305756656.8333333
225, 16-2-2023,06:00:00 a 12:00:00,919707849.0
226, 16-2-2023,12:00:00 a 18:00:00,907074076.5
227, 16-2-2023,18:00:00 a 23:59:59,917897241.0
228, 17-2-2023,00:00:00 a 06:00:00,919654408.0
229, 17-2-2023,06:00:00 a 12:00:00,610722262.0833334
230, 17-2-2023,12:00:00 a 18:00:00,919156840.0
231, 17-2-2023,18:00:00 a 23:59:59,922223929.0
232, 18-2-2023,00:00:00 a 06:00:00,613155402.6666666
233, 18-2-2023,06:00:00 a 12:00:00,460172529.0
234, 18-2-2023,12:00:00 a 18:00:00,918060292.5
235, 18-2-2023,18:00:00 a 23:59:59,920795965.5
236, 19-2-2023,00:00:00 a 06:00:00,918667263.0
237, 19-2-2023,06:00:00 a 12:00:00,459587253.0
238, 19-2-2023,12:00:00 a 18:00:00,918711768.5
239, 19-2-2023,18:00:00 a 23:59:59,902405678.0
240, 20-2-2023,00:00:00 a 06:00:00,921959618.0
241, 20-2-2023,06:00:00 a 12:00:00,610290720.9166666
242, 20-2-2023,12:00:00 a 18:00:00,916357988.0
243, 20-2-2023,18:00:00 a 23:59:59,916358749.3333334
244, 21-2-2023,00:00:00 a 06:00:00,609513671.888889
245, 21-2-2023,06:00:00 a 12:00:00,699713680.0
246, 21-2-2023,12:00:00 a 18:00:00,916796967.0
247, 21-2-2023,18:00:00 a 23:59:59,918293161.5
248, 22-2-2023,00:00:00 a 06:00:00,575193759.3055556
249, 22-2-2023,06:00:00 a 12:00:00,422467300.9166667
250, 22-2-2023,12:00:00 a 18:00:00,422467300.9166667
251, 22-2-2023,18:00:00 a 23:59:59,920075173.0
252, 24-2-2023,00:00:00 a 06:00:00,916771967.0
253, 24-2-2023,06:00:00 a 12:00:00,916090666.0
254, 24-2-2023,12:00:00 a 18:00:00,458822967.1666667
255, 24-2-2023,18:00:00 a 23:59:59,844897082.0
256, 25-2-2023,00:00:00 a 06:00:00,599639147.6666666
257, 25-2-2023,06:00:00 a 12:00:00,446293285.3333333
258, 25-2-2023,12:00:00 a 18:00:00,920490416.0
259, 25-2-2023,18:00:00 a 23:59:59,916160757.6666666
260, 26-2-2023,00:00:00 a 06:00:00,919233231.0
261, 26-2-2023,06:00:00 a 12:00:00,917001696.0
262, 26-2-2023,12:00:00 a 18:00:00,918763209.0
263, 26-2-2023,18:00:00 a 23:59:59,917558048.3333334
264, 27-2-2023,00:00:00 a 06:00:00,919079437.0
265, 27-2-2023,06:00:00 a 12:00:00,875353472.0
266, 27-2-2023,12:00:00 a 18:00:00,902510310.0
267, 27-2-2023,18:00:00 a 23:59:59,919445152.0
268, 28-2-2023,00:00:00 a 06:00:00,888564901.0
269, 28-2-2023,06:00:00 a 12:00:00,882350051.5
270, 28-2-2023,12:00:00 a 18:00:00,919078242.0
271, 28-2-2023,18:00:00 a 23:59:59,751991442.5833334
272, 1-3-2023,00:00:00 a 06:00:00,921385942.0
273, 1-3-2023,06:00:00 a 12:00:00,920175982.0
274, 1-3-2023,12:00:00 a 18:00:00,910551660.5
275, 1-3-2023,18:00:00 a 23:59:59,918266650.5
276, 2-3-2023,00:00:00 a 06:00:00,917297770.0
277, 2-3-2023,06:00:00 a 12:00:00,764613000.6666666
278, 2-3-2023,12:00:00 a 18:00:00,611048676.8333334
279, 2-3-2023,18:00:00 a 23:59:59,457686013.0
280, 3-3-2023,00:00:00 a 06:00:00,914724861.0
281, 3-3-2023,06:00:00 a 12:00:00,916666055.0
282, 3-3-2023,12:00:00 a 18:00:00,851367016.0
283, 3-3-2023,18:00:00 a 23:59:59,917326363.0
284, 4-3-2023,00:00:00 a 06:00:00,600014048.8333334
285, 4-3-2023,06:00:00 a 12:00:00,918972465.0
286, 4-3-2023,12:00:00 a 18:00:00,922095662.0
287, 4-3-2023,18:00:00 a 23:59:59,901598217.0
288, 5-3-2023,00:00:00 a 06:00:00,921466123.5
289, 5-3-2023,06:00:00 a 12:00:00,913941126.0
290, 5-3-2023,12:00:00 a 18:00:00,917296532.0
291, 5-3-2023,18:00:00 a 23:59:59,920705486.6666666
292, 6-3-2023,00:00:00 a 06:00:00,912838703.0
293, 6-3-2023,06:00:00 a 12:00:00,896185122.3333334
294, 6-3-2023,12:00:00 a 18:00:00,913361165.0
295, 6-3-2023,18:00:00 a 23:59:59,760064501.3333334
296, 7-3-2023,00:00:00 a 06:00:00,916010190.5
297, 7-3-2023,06:00:00 a 12:00:00,908568911.0
298, 7-3-2023,12:00:00 a 18:00:00,910535385.0
299, 7-3-2023,18:00:00 a 23:59:59,608079274.9166666
300, 8-3-2023,00:00:00 a 06:00:00,455852413.9166667
301, 8-3-2023,06:00:00 a 12:00:00,915867350.0
302, 8-3-2023,12:00:00 a 18:00:00,917741944.5
303, 8-3-2023,18:00:00 a 23:59:59,918761188.0
304, 9-3-2023,00:00:00 a 06:00:00,918764634.0
305, 9-3-2023,06:00:00 a 12:00:00,916770363.0
306, 9-3-2023,12:00:00 a 18:00:00,764650913.0833334
307, 9-3-2023,18:00:00 a 23:59:59,612006354.5833334
308, 10-3-2023,00:00:00 a 06:00:00,919070388.0
309, 10-3-2023,06:00:00 a 12:00:00,459100897.0
310, 10-3-2023,12:00:00 a 18:00:00,305973457.8333333
311, 10-3-2023,18:00:00 a 23:59:59,153178397.16666666
312, 11-3-2023,00:00:00 a 06:00:00,153178397.16666666
313, 11-3-2023,06:00:00 a 12:00:00,153178397.16666666
314, 11-3-2023,12:00:00 a 18:00:00,919904555.0
315, 11-3-2023,18:00:00 a 23:59:59,922118011.0
316, 12-3-2023,00:00:00 a 06:00:00,918395840.0
317, 12-3-2023,06:00:00 a 12:00:00,460069733.8333333
318, 12-3-2023,12:00:00 a 18:00:00,919917243.0
319, 12-3-2023,18:00:00 a 23:59:59,918659821.5
320, 13-3-2023,00:00:00 a 06:00:00,613181818.9166666
321, 13-3-2023,06:00:00 a 12:00:00,459495483.5833333
322, 13-3-2023,12:00:00 a 18:00:00,306429510.0833333
323, 13-3-2023,18:00:00 a 23:59:59,917450516.0
324, 14-3-2023,00:00:00 a 06:00:00,306018388.9166667
325, 14-3-2023,06:00:00 a 12:00:00,918501295.0
326, 14-3-2023,12:00:00 a 18:00:00,305991967.8333333
327, 14-3-2023,18:00:00 a 23:59:59,305991967.8333333
328, 15-3-2023,00:00:00 a 06:00:00,305991967.8333333
329, 15-3-2023,06:00:00 a 12:00:00,909431419.0
330, 15-3-2023,12:00:00 a 18:00:00,304655451.6666667
331, 15-3-2023,18:00:00 a 23:59:59,151571902.33333334
332, 16-3-2023,00:00:00 a 06:00:00,151571902.33333334
333, 16-3-2023,06:00:00 a 12:00:00,919550516.0
334, 16-3-2023,12:00:00 a 18:00:00,916770638.0
335, 16-3-2023,18:00:00 a 23:59:59,918710872.0
336, 17-3-2023,00:00:00 a 06:00:00,922016242.0
337, 17-3-2023,06:00:00 a 12:00:00,612841377.6666666
338, 17-3-2023,12:00:00 a 18:00:00,895789896.0
339, 17-3-2023,18:00:00 a 23:59:59,899838013.0
340, 18-3-2023,00:00:00 a 06:00:00,917400243.0
341, 18-3-2023,06:00:00 a 12:00:00,605840732.0
342, 18-3-2023,12:00:00 a 18:00:00,921228932.0
343, 18-3-2023,18:00:00 a 23:59:59,735068357.0
344, 19-3-2023,00:00:00 a 06:00:00,916088330.0
345, 19-3-2023,06:00:00 a 12:00:00,844107098.0
346, 19-3-2023,12:00:00 a 18:00:00,918867654.0
347, 19-3-2023,18:00:00 a 23:59:59,722560061.6666666
348, 20-3-2023,00:00:00 a 06:00:00,569021906.1666666
349, 20-3-2023,06:00:00 a 12:00:00,446510513.1666667
350, 20-3-2023,12:00:00 a 18:00:00,911421757.0
351, 20-3-2023,18:00:00 a 23:59:59,514541054.0
352, 21-3-2023,00:00:00 a 06:00:00,917898895.5
353, 21-3-2023,06:00:00 a 12:00:00,390643617.25
354, 21-3-2023,12:00:00 a 18:00:00,904482604.0
355, 21-3-2023,18:00:00 a 23:59:59,915714598.0
356, 22-3-2023,00:00:00 a 06:00:00,919768095.0
357, 22-3-2023,06:00:00 a 12:00:00,609644031.75
358, 22-3-2023,12:00:00 a 18:00:00,913684829.0
359, 22-3-2023,18:00:00 a 23:59:59,915619538.0
360, 23-3-2023,00:00:00 a 06:00:00,917307534.0
361, 23-3-2023,06:00:00 a 12:00:00,611063332.3333334
362, 23-3-2023,12:00:00 a 18:00:00,457768649.6666667
363, 23-3-2023,18:00:00 a 23:59:59,919383160.5
364, 24-3-2023,00:00:00 a 06:00:00,458718371.5833333
365, 24-3-2023,06:00:00 a 12:00:00,306115115.0833333
366, 24-3-2023,12:00:00 a 18:00:00,916877170.0
367, 24-3-2023,18:00:00 a 23:59:59,917401252.0
368, 25-3-2023,00:00:00 a 06:00:00,914909552.0
369, 25-3-2023,06:00:00 a 12:00:00,921647395.0
370, 25-3-2023,12:00:00 a 18:00:00,913313166.0
371, 25-3-2023,18:00:00 a 23:59:59,916613352.0
